id;number;creation_date;is_merchant_contract;modification_date;validation_date;filename;customer_code;active
1;Marketing;2020-03-29T16:14:25;true;2020-03-29T19:01:57;2020-03-29T20:32:02;Tools Unbranded;Super;false
2;Buckinghamshire Ports;2020-03-29T11:13:17;false;2020-03-30T06:51:58;2020-03-29T17:59:46;Networked;Fish;false
3;program alarm;2020-03-30T03:41:41;true;2020-03-29T22:04:02;2020-03-30T08:50:24;turn-key dedicated;Wisco;true
4;Cambridgeshire Investor;2020-03-30T00:39:46;true;2020-03-30T02:41:11;2020-03-29T23:01:30;North Dakota Cambridgeshire;Re-co;false
5;Alaska;2020-03-29T16:38:35;true;2020-03-30T10:02:30;2020-03-30T06:50:15;Applications Response Human;back ;false
6;Venezuela Wisconsin;2020-03-29T11:33:38;true;2020-03-30T09:16:47;2020-03-30T04:01:17;reinvent;eco-c;false
7;calculating Intranet Ergo;2020-03-29T18:58:51;true;2020-03-30T02:28:51;2020-03-30T07:43:34;Bedfordshire;porta;true
8;France protocol;2020-03-30T01:00:49;true;2020-03-30T04:56:21;2020-03-29T14:16:43;Senior Avon;Auto ;false
9;extend Unbranded Fresh Pa;2020-03-29T21:11:44;false;2020-03-30T00:33:54;2020-03-29T21:12:34;Garden Dale Wallis and Futuna;gener;true
10;Assimilated;2020-03-30T10:09:22;true;2020-03-30T03:48:35;2020-03-30T02:26:37;Plastic South Georgia and the South Sandwich Islands;compo;true
