id;limit_type_code;account_type_code;customer_type_code;value;comment;active
1;inter;Auto ;syste;91236;grey Investment Account;true
2;progr;Savin;Shirt;49227;Compatible AI;false
3;Borde;Rusti;Coord;25813;deposit matrices quantify;false
4;Manag;SDD;Glove;33700;hacking content Persevering;true
5;port ;Credi;payme;84417;online Utah COM;false
6;Steel;Grani;Progr;3934;Concrete Estate;true
7;artif;Arizo;Archi;493;Paradigm;true
8;COM F;open-;Music;30792;capacitor;false
9;Chile;Table;Qatar;83811;Identity Lek Bedfordshire;true
10;SCSI ;wirel;invoi;10659;deposit Orchestrator;false
