id;code;label;amount;percent;amount_in_percent;amount_transaction_max;amount_transaction_min;currency_code;service_code;description;modification_date;active
1;incen;Costa Rica Mayotte;18485;3131;true;84228;77513;KZT;e-ena;Awesome;2020-03-30T06:23:04;true
2;Tacti;scale interactive generating;35675;96525;false;60703;54269;GEL;scala;Small;2020-03-29T11:24:10;false
3;reinv;monitor;72900;79017;true;60595;7404;XDR;depos;Investment Account archive Fantastic Plastic Chicken;2020-03-30T03:17:01;true
4;New Y;Frozen bus;76078;72172;true;23598;77096;FJD;Sleek;Intelligent Outdoors;2020-03-29T19:48:51;false
5;Monta;Corporate Phased relationships;75555;20306;false;94285;7697;NPR;Chile;Web virtual deposit;2020-03-29T14:10:23;false
6;mint ;back-end;89609;35629;false;90682;11005;GBP;withd;copying;2020-03-29T14:25:50;false
7;Hat;supply-chains magenta;11986;26941;false;24412;94290;CNY;sky b;Kenyan Shilling robust;2020-03-29T11:45:55;false
8;Exclu;zero tolerance;3688;26678;true;97661;50267;KGS;Home;Investor Public-key;2020-03-30T07:36:37;true
9;Way D;Bulgarian Lev navigate;23763;24215;true;80313;36778;LKR;Orche;Licensed hacking installation;2020-03-30T06:36:41;true
10;HDD;Algerian Dinar;1658;71114;true;80950;22649;IDR;Rusti;synthesize Creative;2020-03-30T07:47:15;true
