id;code;long_label;short_label;active
1;Borde;Pants;Tasty navigate didac;true
2;Indon;Pizza bus withdrawal;Cyprus;false
3;olive;Kids Incredible;Florida THX Idaho;true
4;open-;pixel SAS parsing;Branding Concrete;false
5;super;Kids;microchip;true
6;Woode;North Carolina infomediaries Chief;Money Market Account;false
7;Compu;users Guinea;SQL lavender;true
8;back-;Central digital supply-chains;Bedfordshire;true
9;Phili;Metal;methodologies Granit;true
10;Armen;Global Soft Missouri;Awesome Cotton Tuna;false
