id;code;comment;long_label;short_label;active
1;Handm;cultivate Bedfordshire;navigate Kiribati;bypass Games Customer-focused;true
2;Inter;ADP;Hungary Configurable;interface;false
3;Kentu;blue internet solution Concrete;distributed Ranch impactful;Berkshire Awesome;true
4;Nevad;empower;customized payment;Grass-roots Cambridgeshire;false
5;Integ;Pants;Avon;blue scalable Car;true
6;Small;Executive Regional Wisconsin;TCP parsing Networked;feed;true
7;hard ;override silver orchestration;tan program;Metal Auto Loan Account;false
8;Monta;Applications;Montenegro;frictionless;false
9;Baham;Manager open architecture;Gorgeous Metal Shoes;Investment Account;false
10;users;transmitting parse infrastructures;matrix Implementation Shirt;Mobility;true
