id;code;label;description;active
1;front;Communications;Customer;false
2;Gener;HDD Security Virginia;solid state Clothing deposit;true
3;maxim;Configuration;District Wooden Visionary;false
4;yello;Czech Republic;Investment Account streamline;true
5;indig;leading-edge synergize;JSON National;false
6;Rue D;Assimilated Unions;Devolved;true
7;Table;integrated;modular red;false
8;Bedfo;Towels applications;Zimbabwe;false
9;matri;index indigo;sticky Expressway Checking Account;false
10;gener;synthesize;Macedonia Japan;false
