id;code;label;use_transaction_group;check_subscription;ignore_fees;ignore_limit;ignore_commission;check_otp;pg_message_model_code;transaction_group_code;active
1;Accou;seamless indexing Handcrafted;true;true;true;true;true;true;Port ;Handm;false
2;HDD p;Hill override PNG;false;true;false;false;false;true;alarm;workf;true
3;Borde;Practical Steel Mouse;false;true;false;false;true;true;minds;drive;true
4;web-r;Auto Loan Account Personal Loan Account;true;false;true;false;true;true;Natio;bench;false
5;calcu;interface Investor Tuna;false;false;true;true;false;false;Sleek;Borde;true
6;Tuna;toolset incentivize;true;true;false;false;true;true;Cotto;Enter;false
7;inter;open-source hacking;false;false;false;true;true;true;De-en;array;false
8;calcu;Hawaii Botswana Computers;true;false;false;true;false;true;Gener;Sausa;false
9;Arizo;Architect Developer;false;false;true;false;true;true;Minne;Tugri;false
10;budge;Implementation feed Chips;false;false;true;true;false;false;XSS;Quali;true
