id;code;long_label;short_label;comment;active
1;dot-c;white sensor local;calculate;Chips;true
2;Respo;back up Factors;architectures;Wisconsin Facilitator Incredible;false
3;fuchs;Pants Maryland;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;true
4;progr;Metal array France;redundant;Synergistic Personal Loan Account Sleek;false
5;Auto ;Yen;Unbranded Fresh Pants Tools California;North Dakota Garden;false
6;Walli;generating;Computers Small Fresh Gloves back-end;interface;true
7;compo;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;false
8;minds;Chips;navigating;Som Rustic Frozen Keyboard ROI;false
9;Handm;motivating Operations alarm;e-markets system;Organic;false
10;hack;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;true
