id;code;label;comment;active
1;onlin;systems integrate;Web HTTP;false
2;Kids ;EXE payment;Checking Account;true
3;Solut;Data North Dakota;North Carolina Granite;true
4;parsi;Branding Dynamic black;yellow;false
5;Ergon;Handcrafted Plastic Shirt quantifying;wireless;false
6;Avon;Rupiah Personal Loan Account HTTP;schemas Specialist China;false
7;South;incentivize;Louisiana JSON Texas;false
8;Dobra;Fantastic;Liechtenstein Buckinghamshire monetize;false
9;Fanta;time-frame Quality;Borders Borders Practical;false
10;Money;Danish Krone parse;neural Wooden Optimization;true
