id;code;label;description;active
1;Mouse;Human Mission;Officer Savings Account Automated;true
2;B2B;Chair Awesome;Kiribati;false
3;Regio;Bedfordshire;alliance Licensed Plaza;true
4;Cambr;Regional;Home;true
5;Handm;cultivate Bedfordshire;navigate Kiribati;true
6;Small;Buckinghamshire Antarctica (the territory South of;back-end enhance;false
7;inter;Toys;overriding;false
8;Brazi;National;Ranch impactful;true
9;Club ;Nevada quantify architectures;empower;false
10;Dynam;dot-com;methodology Integration Music;false
