id;partner_code;callback_uri;http_method;manager_class;active
1;inter;compress lavender Investment Account;backing up;Iran;true
2;depos;card Licensed Cotton Ball;mindshare ;Chips;false
3;infom;Enterprise-wide Benin;Tuna Respo;alarm Jamaica;true
4;parad;Steel leading-edge Small;Incredible;Shoes Music connect;true
5;e-bus;integrate Personal Loan Account;HTTP expli;Personal Loan Account;true
6;EXE p;Checking Account;invoice Ou;multi-byte Jamaican Dollar North Carolina;false
7;hapti;revolutionize Branding;teal analy;Books Generic;true
8;Handc;wireless;hybrid;Solomon Islands Dollar;false
9;Accou;intermediate Table quantify;Wyoming in;quantify;false
10;Infra;application Configurable iterate;Berkshire ;superstructure;false
