id;number;opening_date;temporary;closing_date;imsi;transaction_code;validation_date;account_status_code;account_type_code;customer_code;currency_code;comment;active
1;Devolved;2020-03-29T21:13:37;false;2020-03-30T07:07:04;Automotive frame;dUVa;2020-03-29T19:09:55;Chips;Massa;Aweso;NOK;Fantastic Soft Table;false
2;National turquoise orchid;2020-03-30T10:12:46;false;2020-03-29T23:45:38;New Jersey Gorgeous ;hnZf;2020-03-29T23:09:43;hack ;SDD M;didac;MMK;auxiliary Liaison;true
3;SMTP web-readiness Cyprus;2020-03-30T04:59:49;false;2020-03-30T06:23:00;Avon Checking Accoun;Uh09;2020-03-30T05:22:26;Licen;neura;maroo;GMD;Senior;false
4;Handmade fuchsia;2020-03-30T10:27:12;false;2020-03-30T06:44:08;North Carolina infom;JE52;2020-03-30T02:22:36;Compu;users;SQL l;ZAR;back-end Fresh Missouri;true
5;Squares Table Avon;2020-03-29T22:47:28;false;2020-03-29T17:17:23;Philippine Peso ince;U9BR;2020-03-29T15:03:07;Liais;Lari;Sport;MZN;actuating India;true
6;calculating yellow;2020-03-30T10:49:34;false;2020-03-30T07:48:17;Future;3ekj;2020-03-29T23:13:40;Virgi;niche;strat;XTS;Car Generic compress;false
7;compressing action-items;2020-03-29T13:07:05;true;2020-03-29T17:46:25;Home Loan Account;z3ic;2020-03-29T17:30:31;black;Soap;Refin;THB;Incredible Incredible;true
8;Buckinghamshire Nepalese Rupee;2020-03-30T00:39:16;false;2020-03-30T05:10:35;bypassing;UKQ8;2020-03-30T08:36:57;archi;Soft ;Aweso;XPT;input invoice calculate;true
9;invoice Engineer Central;2020-03-29T19:34:13;false;2020-03-29T18:27:15;Tasty Metal Chair Ha;QZsJ;2020-03-30T10:16:31;Leone;azure;Admin;XPD;Shoal HTTP indexing;false
10;quantifying Baby;2020-03-29T20:46:47;false;2020-03-30T05:34:12;Granite Unbranded;6SsF;2020-03-29T21:21:07;hapti;bluet;Timor;XAF;web-readiness;false
