id;code;label;logic;comment;partner_code;meansofpayment_type_code;active
1;hierarchy ;Liaison;Soft Palestinian Territory De-engineered;Tasty Metal Chicken capacitor;Froze;Aweso;true
2;Chicken;withdrawal;connect technologies;Toys value-added;Execu;Usabi;true
3;matrix arr;Bedfordshire Computer;Soap;magenta Nevada Granite;Forwa;solut;true
4;invoice pa;Public-key;Creative program Berkshire;mindshare Orchestrator;Jewel;wirel;true
5;mindshare;revolutionize Singapore;CSS;Quality;Metal;Home ;false
6;payment;recontextualize Steel Fish;Utah e-business Frozen;pink B2C;senso;Money;false
7;Gambia;Down-sized Handmade Fresh Chair;web-enabled;Awesome Metal Ball open system quantify;digit;Grani;false
8;District;Credit Card Account;Ball ability;Cambridgeshire content-based;Small;Towel;false
9;Small;hard drive best-of-breed;Egypt;deposit 3rd generation Cambridgeshire;New J;matri;true
10;uniform Or;client-server;open-source;help-desk Montenegro;Michi;Handm;false
