id;code;long_label;short_label;active
1;Mount;calculating Group copying;circuit bypass;false
2;Baby;online Avon Gorgeous Granite Sausages;HDD transmitter Buck;true
3;Consu;Intelligent Granite Bike Metal Markets;Configuration;false
4;Bedfo;strategic facilitate Generic;Ball Planner Investo;false
5;Soft ;navigating;Mission;true
6;Refin;Manat Checking Account Incredible;Credit Card Account ;true
7;withd;primary Operative orange;envisioneer Gloves D;true
8;Berks;pixel;frictionless SQL;false
9;mint ;port Shoes Electronics;internet solution;false
10;Solut;hacking Borders;Mission Central;true
