id;code;long_label;short_label;active
1;alarm;Checking Account Madagascar;Soft New York Berkshire;true
2;Indus;web-enabled Berkshire;initiatives port Checking;false
3;commu;Regional;Games sky blue;true
4;plum ;Movies;virtual quantify;true
5;PCI;Senior indigo IB;primary;true
6;Proac;Canada program Savings Account;mobile olive;false
7;Produ;next-generation COM;Direct;true
8;Elect;Future;Moroccan Dirham HTTP Road;true
9;silve;global Lesotho Executive;North Dakota Bedfordshire;false
10;granu;Right-sized;port;false
