id;code;label;description;active
1;progr;index Kids California;value-added Awesome Configuration;true
2;Alley;action-items Keyboard payment;Directives Outdoors Monitored;true
3;Chees;multi-byte;IB Rue;true
4;Won H;port Rubber;matrices Rustic;false
5;Drive;Glen Gorgeous Rubber Keyboard Savings Account;zero administration;true
6;Custo;Personal Loan Account;emulation;false
7;SAS d;Investment Account;bottom-line driver Harbor;true
8;Rusti;Money Market Account object-oriented;PNG Factors;true
9;gener;Cotton;open architecture;false
10;dedic;Specialist yellow Granite;Awesome Wooden Tuna;false
