id;partner_code;callback_uri;http_method;manager_class;active
1;Sausa;Administrator Books;Cambridges;Mouse withdrawal Jewelery;false
2;purpl;Rustic Plastic Shoes;Credit Car;Iceland;false
3;Indus;harness Naira;moderator ;Savings Account;true
4;Baby ;Home;Kids produ;Virginia;false
5;Minne;Money Market Account open-source withdrawal;Cambridges;lime;true
6;Bedfo;Internal bypassing Antarctica (the territory South of 60 deg S);Team-orien;synthesize lime matrix;true
7;pixel;withdrawal initiatives;transmit;Berkshire;true
8;zero ;Rustic Practical;methodical;communities;false
9;Avon ;Coves;Handmade C;override;true
10;cutti;maroon Buckinghamshire Music;haptic Tot;primary auxiliary;false
