id;code;long_label;short_label;active
1;Home;Investor Public-key;Lebanon;false
2;Domin;Ergonomic transmitter;Point Orchestrator;false
3;bypas;installation;Argentine Peso;true
4;neura;Buckinghamshire Future-proofed deposit;Quality;false
5;Cambr;bricks-and-clicks Concrete Global;Fiji Dollar Profound Baco;true
6;Borde;Tasty Customer Human;pink even-keeled;true
7;progr;invoice Unbranded Cheese;New Zealand Dollar Alabam;true
8;Super;Latvia;Ports Manager Fish;false
9;Bedfo;navigate;program alarm;false
10;Benin;dedicated Persevering;Coordinator Cambridgeshir;false
