id;code;label;description;active
1;24/7;Pizza blue;digital;false
2;bypas;Fresh incubate Agent;Jewelery Engineer Bedfordshire;true
3;progr;stable override;Director;true
4;tan p;Metal Auto Loan Account;Awesome;true
5;Appli;Montenegro;frictionless;false
6;Baham;Manager open architecture;Gorgeous Metal Shoes;false
7;Mall ;scalable Configuration calculating;infrastructures Mobility Representative;false
8;strea;synthesize Arizona synthesizing;synthesizing;true
9;back-;Mouse open-source payment;National structure;true
10;Tanza;e-enable Plaza intranet;convergence Idaho customized;false
