id;code;label;amount;amount_in_percent;date_creation;percent;currency_code;partner_code;service_code;description;active
1;purple Ref;interactive Internal;56568;false;2020-03-30T06:42:24;38099;BZD;Tennessee ;concept;Music UIC-Franc Handcrafted;false
2;Checking A;communities;16121;true;2020-03-29T19:20:14;61923;ZAR;Washington;bypassing ;Auto Loan Account Program;true
3;Handcrafte;Creative Licensed Plastic Soap;43817;false;2020-03-29T13:30:32;25533;XTS;action-ite;relationsh;maroon;false
4;Delaware;programming;4191;false;2020-03-30T01:01:50;22008;CNY;SMS Califo;installati;port Paradigm gold;true
5;Applicatio;expedite migration foreground;9137;true;2020-03-30T03:32:06;53129;AUD;redundant ;Metal back;Mandatory Fantastic reboot;true
6;applicatio;Borders;51409;false;2020-03-30T03:41:15;90158;MYR;structure;Indiana;Clothing Developer Director;false
7;program;SMTP synthesizing;44057;true;2020-03-30T07:54:47;40021;ISK;Money Mark;Savings Ac;task-force;false
8;Generic Fr;initiative Turkmenistan;41719;true;2020-03-30T07:14:43;13050;CNY;content tr;bandwidth ;Movies deposit Money Market Account;false
9;Enterprise;transmitting;94825;true;2020-03-30T03:46:49;13545;FKP;systemic;Program;Program green;false
10;Tools TCP;West Virginia Jewelery virtual;30643;false;2020-03-30T10:07:29;69771;NIO;mesh Super;Gorgeous G;Direct syndicate Comoros;false
