id;label;start_date;end_date;active
1;SCSI Paradigm Awesome;2020-03-30T01:50:11;2020-03-29T16:08:42;false
2;mint green Multi-layered;2020-03-29T23:49:56;2020-03-30T09:45:55;false
3;Ergonomic Table Granite;2020-03-29T11:44:14;2020-03-29T11:26:37;true
4;Executive;2020-03-30T00:32:13;2020-03-30T10:52:54;false
5;digital;2020-03-30T03:15:38;2020-03-29T19:57:25;false
6;Ameliorated;2020-03-30T07:58:42;2020-03-29T15:15:07;false
7;virtual Quetzal;2020-03-30T09:35:21;2020-03-29T11:40:55;false
8;solid state;2020-03-30T07:33:53;2020-03-29T16:26:51;false
9;JBOD;2020-03-30T07:22:21;2020-03-30T04:34:41;false
10;Buckinghamshire;2020-03-30T03:49:58;2020-03-29T18:07:50;true
