id;code;name;is_native;is_source_internal;is_destination_internal;need_subscription;currency_code;use_transaction_type;check_subscription;ignore_fees;ignore_limit;ignore_commission;check_otp;pg_transaction_type_1_code;pg_transaction_type_2_code;partner_owner_code;transaction_type_code;service_authentication_code;contract_path;description;logic;active
1;techn;Bacon teal contingency;false;true;false;true;BIF;false;false;false;false;false;true;asymm;Refin;Berks;Bike ;proce;even-keeled best-of-breed infrastructures;Car backing up Maryland;Turkish Lira white;true
2;encom;Concrete;false;false;true;false;WST;true;true;true;false;true;true;Fanta;Kwanz;Execu;Archi;Cambr;Officer;world-class quantify Cambridgeshire;zero defect Spring;true
3;conte;payment;true;true;true;false;AMD;true;false;true;false;true;false;Licen;compr;orang;Phase;zero ;Codes specifically reserved for testing purposes;Plastic Chicken Investor;Auto Loan Account UAE Dirham Alabama;false
4;bifur;Rest;true;false;false;true;QAR;true;true;false;false;false;true;plum;calcu;Soft;e-bus;Grani;Kids;open-source;Health invoice bandwidth;true
5;Shoes;streamline solid state New Hampshire;false;true;false;true;INR B;false;true;false;true;true;false;solid;Fresh;Speci;Inves;Perso;asymmetric azure withdrawal;Rubber synergies;feed;false
6;invoi;primary;true;true;false;true;MAD;true;false;false;true;false;true;recip;card;El Sa;Slove;Princ;Licensed Holy See (Vatican City State);payment Coordinator;Innovative;false
7;budge;parsing;true;false;false;true;BHD;true;false;true;true;true;false;flexi;Dong ;Belar;payme;Metal;transmit;supply-chains Producer Generic;olive Shoes dynamic;false
8;Auto ;Cross-platform;true;true;true;false;GHS;false;false;true;false;true;true;depos;Tasty;Gener;Sleek;payme;Principal;Monaco Soft Regional;invoice;false
9;magen;Interactions Angola;true;false;true;false;ZAR;true;true;true;false;false;true;Inves;porta;Egypt;Direc;Hills;Avon;Handcrafted Granite Chips;Courts;false
10;trans;Tools Credit Card Account;true;false;false;true;JPY;false;false;true;false;true;true;Froze;Fort;Moldo;B2C W;Handm;Intelligent Rubber Car Money Market Account SDD;Plastic Self-enabling;Malawi;false
