id;limit_type_code;value;comment;active
1;Unive;Bedfordshire Som Implementation;Assistant deposit;true
2;frame;Chicken Chips functionalities;Concrete;true
3;syste;granular Cotton;withdrawal;true
4;Integ;Congo;neural Internal impactful;true
5;Legac;Concrete invoice withdrawal;impactful;false
6;Bedfo;Auto Loan Account;EXE system engine;true
7;PNG c;Tasty SMTP flexibility;Buckinghamshire;true
8;Bedfo;extranet;digital;true
9;Cotto;Incredible Qatari Rial Reverse-engineered;optical Response productivity;true
10;Froze;withdrawal Auto Loan Account deposit;Refined Metal Chips;false
