id;code;label;amount;amount_in_percent;date_creation;percent;currency_code;partner_code;service_code;description;commission
1;Street THX;Savings Account;17567;false;2020-03-29T22:46:29;29785;SEK;Archi;funct;copying Industrial Meadow;32923
2;Unbranded ;array;98371;true;2020-03-30T09:53:13;52155;BMD;matri;depos;Ergonomic Steel Car back up Concrete;46772
3;Personal L;regional;56193;false;2020-03-30T08:24:17;76188;OMR;Michi;syndi;Human cross-platform Borders;94537
4;Tasty Froz;Granite;57982;false;2020-03-30T04:18:36;95214;GHS;repur;Dale;action-items Avon Centralized;31645
5;Refined;Vista;71288;true;2020-03-30T01:39:41;33487;FJD;ubiqu;solid;Florida;61019
6;Operations;Rapids Dobra;73316;false;2020-03-29T11:12:05;86717;GIP;Djibo;Tasty;Cambridgeshire;60324
7;Extended;Handcrafted incremental;9055;true;2020-03-29T19:03:33;61134;BYR;synth;e-ena;Grocery Seamless;3238
8;impactful ;frictionless wireless Digitized;22438;true;2020-03-29T22:59:00;23599;FKP;Elect;Hat B;Associate Oklahoma THX;13945
9;Illinois R;withdrawal evolve Granite;26248;false;2020-03-29T21:08:32;86706;SGD;Froze;Infra;Bond Markets Units European Composite Unit (EURCO) parsing;32298
10;National H;Pound Sterling;27347;false;2020-03-29T17:24:58;23031;AWG;Licen;copy ;red process improvement Analyst;41111
