id;code;label;logic;comment;partner_code;meansofpayment_type_code;active
1;SDD bypass;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-;repur;true
2;Oklahoma c;array supply-chains Advanced;Parkway Handmade Wooden Cheese;quantifying;synth;Glen ;true
3;web servic;Industrial Designer Incredible Fresh Car;Principal Senior;Paraguay;Sleek;Wells;true
4;Maryland L;Unbranded Cotton Table Generic B2B;olive;facilitate Persevering;Fanta;zero ;false
5;schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;SCSI ;drive;true
6;Shirt Cred;transmitting Tennessee Practical Steel Shirt;24/7;Refined;hapti;Rhode;true
7;enhance Mu;Response;white SMTP;Checking Account global Steel;Borde;SAS;true
8;California;Burg;transmit Credit Card Account;digital Corporate Checking Account;seaml;Unbra;true
9;Spurs Regi;Home Loan Account;CFP Franc back-end Via;Buckinghamshire Business-focused Canyon;Inves;Futur;false
10;Rubber Shi;Pakistan Rupee;Chicken;e-business RSS;Rand ;Autom;true
