id;code;expected_payment_date;real_payment_date;amount_to_pay;penality_fee;status_date;loan_instalment_status_code;active
1;parsing in;2020-03-30T06:46:49;2020-03-30T07:02:30;27396;6936;2020-03-30T06:35:26;utili;false
2;Credit Car;2020-03-30T03:39:48;2020-03-30T10:01:55;65572;31897;2020-03-30T02:29:28;Armen;false
3;Solomon Is;2020-03-30T03:22:50;2020-03-29T20:38:46;93664;87747;2020-03-30T10:48:00;schem;false
4;South Dako;2020-03-30T08:40:34;2020-03-30T02:48:44;25001;77641;2020-03-29T21:48:28;JSON ;false
5;Dobra appl;2020-03-30T06:01:23;2020-03-30T09:15:56;37772;90255;2020-03-29T22:55:01;Bucki;false
6;Fantastic ;2020-03-30T03:13:23;2020-03-30T04:04:38;95680;95006;2020-03-29T19:29:54;Borde;false
7;Money Mark;2020-03-29T22:27:07;2020-03-29T19:36:01;21272;75237;2020-03-29T13:01:56;neura;true
8;Designer;2020-03-30T10:23:59;2020-03-30T01:08:38;73703;88770;2020-03-29T22:38:20;bandw;true
9;generating;2020-03-30T01:30:52;2020-03-29T18:55:03;22257;7276;2020-03-30T02:13:16;Inter;false
10;Maine PCI ;2020-03-30T06:03:37;2020-03-29T13:00:25;90769;98600;2020-03-29T21:32:08;dynam;false
