id;number;amount;direction;operation_date;account_number;operation_status_code;operation_type_code;currency_code;user_code;description;active
1;Liaison co;77857;S;2020-03-29T23:53:07;navigate Licensed Bosnia and Herzegovina;index;Bucki;LVL;model;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);true
2;Persistent;90845;I;2020-03-30T00:39:09;Communications;Custo;Avon;OMR;Cloth;Personal Loan Account Awesome International;true
3;Clothing d;37443;P;2020-03-29T15:34:13;District Wooden Visionary;hacki;progr;HTG U;instr;Handmade Plastic Mouse neural;false
4;leading-ed;53739;C;2020-03-29T18:02:27;Path Assimilated Unions;Devol;Avon ;XBD;integ;modular red;false
5;Bedfordshi;45898;M;2020-03-29T15:05:08;Zimbabwe;Bedfo;appli;KPW;solid;turquoise orchid;false
6;Street New;6570;s;2020-03-30T00:51:43;Malaysia supply-chains;Borde;Pants;VND;Mobil;didactic Dynamic;true
7;auxiliary ;83978;S;2020-03-30T05:38:51;olive;Kids ;Flori;SGD;open-;pixel SAS parsing;false
8;Belize Dol;89633;K;2020-03-30T09:41:18;fuchsia Music Salad;withd;gener;ISK;Alask;best-of-breed generate;false
9;SQL lavend;97454;b;2020-03-29T12:05:31;Squares Table Avon;optim;incen;PLN;metho;needs-based Sports Global;false
10;Missouri a;65142;c;2020-03-30T11:28:36;Concrete;syste;withd;XBD;niche;strategic;true
