id;code;label;amount;amount_in_percent;date_creation;percent;currency_code;partner_code;service_code;description;commission
1;open archi;online;62790;true;2020-03-30T09:46:42;51165;WST;Regio;Home;primary quantify Chips;20934
2;cultivate ;navigate Kiribati;72051;true;2020-03-30T10:14:40;3668;CAD;Metal;Inter;ADP;35414
3;enhance Go;leverage Toys software;21144;false;2020-03-30T03:52:51;53533;BSD;Natio;Ranch;Berkshire Awesome;53710
4;Nevada qua;empower;33744;false;2020-03-29T14:08:58;64591;NZD;Grass;Perso;Music;22533
5;24/7;Pizza blue;28509;true;2020-03-30T07:34:47;5565;XBA;Small;Execu;TCP parsing Networked;17088
6;Tanzanian ;Gardens synthesizing;20507;false;2020-03-29T12:30:32;32367;SEK;tan p;Metal;Awesome;50610
7;Applicatio;Montenegro;5182;false;2020-03-30T03:39:44;45426;BYR;Aweso;Gorge;Investment Account;47157
8;users scal;transmitting parse infrastructures;93293;true;2020-03-29T11:57:31;93834;DJF;strea;synth;synthesizing;75050
9;back-end;Mouse open-source payment;52306;true;2020-03-30T03:07:44;31619;XAF;white;inter;intranet index;50272
10;Grass-root;Mali Unbranded Concrete Soap;54284;false;2020-03-30T01:23:03;93983;HTG U;array;optic;Borders reboot;57315
